2025-01-24 13:40:51 - ERROR - POST /user/sign-up - 0fd8644a-2810-4de7-a5db-7e94f71586bc - Time response: 0ms - {"message":"Error: Email is exists","module":"at UserService.signUp ","file":"\\user.service.js:25:32"}
2025-01-24 13:49:00 - ERROR - POST /user/login - 53f21601-c496-4d7c-959f-98c76d02485e - Time response: NaNms - {"message":"ReferenceError: newUser is not defined","module":"at UserService.login ","file":"\\user.service.js:87:22"}
2025-01-24 13:52:52 - ERROR - POST /user/login - 2845fe39-26c9-43cd-93cb-d6064b4f7023 - Time response: 2ms - {"message":"Error: Your status is pending","module":"at UserService.login ","file":"\\user.service.js:81:52"}
2025-01-24 14:50:06 - ERROR - POST /user/login - c7a49fc3-4a86-4152-b5c8-c02c0a343df5 - Time response: NaNms - {"message":"TypeError: Class constructor MailService cannot be invoked without 'new'","module":"at module.exports.login ","file":"\\user.controller.js:40:5"}
2025-01-24 14:53:49 - ERROR - POST /user/login - 5b58207c-4ab5-444b-8fa6-187d0f98e569 - Time response: NaNms - {"message":"Error: connect ECONNREFUSED 127.0.0.1:587","module":"at TCPConnectWrap.afterConnect [as oncomplete] ","file":""}
2025-01-24 14:54:18 - ERROR - POST /user/login - e7a7479b-e905-4d2f-bc80-ce8fcb131ae0 - Time response: NaNms - {"message":"Error: connect ECONNREFUSED 127.0.0.1:587","module":"at TCPConnectWrap.afterConnect [as oncomplete] ","file":""}
2025-01-24 14:55:21 - ERROR - POST /user/login - d02a5faf-2b8b-4fbd-9ab8-ddf7694134f5 - Time response: NaNms - {"message":"Error: connect ECONNREFUSED 127.0.0.1:465","module":"at TCPConnectWrap.afterConnect [as oncomplete] ","file":""}
2025-01-24 14:55:51 - ERROR - POST /user/login - 547cf6b8-d84b-4930-b79a-473d5e4787a3 - Time response: NaNms - {"message":"Error: No recipients defined","module":"at SMTPConnection._formatError ","file":"\\index.js:809:19"}
2025-01-24 14:56:40 - ERROR - POST /user/login - 9c5947b1-6b0a-4c87-8e04-a59c90bc4f7b - Time response: NaNms - {"message":"Error: connect ETIMEDOUT 142.250.76.5:587","module":"at TCPConnectWrap.afterConnect [as oncomplete] ","file":""}
2025-01-24 14:57:06 - ERROR - POST /user/login - 4e7ad683-4044-464e-8406-36db510ea59b - Time response: NaNms - {"message":"Error: getaddrinfo ENOTFOUND gmail","module":"at GetAddrInfoReqWrap.onlookupall [as oncomplete] ","file":""}
2025-01-24 14:59:00 - ERROR - POST /user/login - 0ead23fd-ae22-40da-86ad-0b41c19d6e1f - Time response: NaNms - {"message":"Error: connect ETIMEDOUT 142.250.198.197:587","module":"at TCPConnectWrap.afterConnect [as oncomplete] ","file":""}
2025-01-24 15:00:08 - ERROR - POST /user/login - 7e364fa3-2147-492f-8c11-b01e4515f732 - Time response: NaNms - {"message":"Error: No recipients defined","module":"at SMTPConnection._formatError ","file":"\\index.js:809:19"}
